job_id,company,title,location,current_bucket,rejection_reason,total_score
22,SumUp,Data Analyst - CoreOps,"Santiago, Chile",Ignore,unknown_reject,27
39,SumUp,Senior Logistics Analyst - Americas,"Santiago, Chile",Ignore,unknown_reject,32
44,SumUp,Sr. Growth Analyst – Marketing & Comms,"Santiago, Chile",Ignore,unknown_reject,25
51,Stripe,Accounts Receivable Analyst,Bengaluru,Low Priority,non_eu,45
52,Stripe,"Backend/API Engineer, Money as a Service",US,Ignore,non_eu,33
53,Stripe,"Backend Engineer, Payments and Risk",US,Ignore,non_eu,33
54,Stripe,Bridge - Operations Associate,Bengaluru,Low Priority,non_eu,44
56,Stripe,"Credit Risk Analyst, North American Underwriter","Toronto, Remote-Canada",Low Priority,non_eu,38
59,Stripe,Finance & Strategy Analyst,"CHI, SEA, NYC, SF",High Priority,non_eu,73
60,Stripe,Fraud Patterns Analyst,US-Remote,Ignore,non_eu,33
61,Stripe,F&S COE Analyst,Bengaluru,Low Priority,non_eu,38
62,Stripe,"Full Stack Engineer, Money as a Service",N/A,Ignore,unknown_reject,32
63,Stripe,Monetization Operations Analyst,IN - Bengaluru,Ignore,non_eu,33
64,Stripe,"Operations Associate, GTM Accelerate (Bangalore)",Bengaluru,Low Priority,non_eu,35
65,Stripe,Payments Analyst,LOCATION,Ignore,unknown_reject,34
67,Stripe,"Product Manager, Commerce Systems","SF, SEA, NYC, US - Remote",Medium Priority,non_eu,62
68,Stripe,"Product Manager - Compliance, Bridge","New York, San Francisco or Remote",Medium Priority,non_eu,62
72,Stripe,"Product Manager, Growth AI Outreach Motion","Toronto, Remote- Canada",High Priority,non_eu,80
73,Stripe,"Product Manager, Infrastructure",Remote in the US,Medium Priority,non_eu,67
74,Stripe,"Product Manager, Link Consumer Product","SF, SEA, NY, Remote-US",Medium Priority,non_eu,60
75,Stripe,"Product Manager, Payments","SF, NY, SEA, Remote-US",High Priority,non_eu,74
76,Stripe,"Product Manager, Risk & Compliance",Bengaluru,High Priority,non_eu,71
78,Stripe,"Product Support Operations Associate, Weekend Shift",Bengaluru,Ignore,non_eu,30
81,Stripe,"Risk Operations Analyst, Financial Crimes Programs","Remote, US",Ignore,non_eu,30
83,Stripe,"Sr. Operations Associate, Sanctions (FinCrime)",Bengaluru,Ignore,non_eu,33
84,Stripe,Staff Data Analyst,US,Low Priority,non_eu,40
85,Stripe,"Staff Product Manager, Cards Monetization","Seattle, San Francisco, New York, US - Remote",Medium Priority,non_eu,60
86,Stripe,"Staff Product Manager, Dashboard","San Francisco, Seattle, NYC, Chicago, Atlanta, US Remote",Medium Priority,non_eu,63
87,Stripe,"Staff Product Manager, Enterprise (Industries)","San Francisco, Seattle, New York, Chicago, Atlanta, Remote",Medium Priority,non_eu,67
88,Stripe,"Staff Product Manager, Global Expansion",Bengaluru,Medium Priority,non_eu,64
91,Stripe,"Staff Product Manager, Payments","SF, SEA, NYC, Remote",Medium Priority,non_eu,60
92,Stripe,Strategic Sourcing Analyst,Bengaluru,Low Priority,non_eu,35
93,Adyen,Business Analyst - Pricing,São Paulo,Low Priority,non_eu,43
97,Adyen,Product Manager,São Paulo,Medium Priority,non_eu,61
98,Adyen,Senior Business Analyst,São Paulo,Medium Priority,non_eu,66
110,Ebury,Associate Client Portfolio Management (FX Dealer),Santiago,Ignore,unknown_reject,20
120,Ebury,Data Analyst - Regulatory Reporting,São Paulo,Ignore,non_eu,20
139,Ebury,Product Manager - Crypto & Stablecoins,São Paulo,Medium Priority,non_eu,56
140,Ebury,Product Manager- Financial Crime Prevention,São Paulo,Medium Priority,non_eu,55
164,Payoneer,Customer Care Associate (Japanese Speaking),"Seoul, South Korea",Ignore,unknown_reject,14
166,Marqeta,Junior Account Manager (Contractor),"Remote, USA",Ignore,non_eu,16
167,Marqeta,Sales Enablement Associate,"Remote, USA",Ignore,non_eu,20
168,Marqeta,"Senior Product Manager, Stablecoins","Remote, USA",Low Priority,non_eu,42
169,Mercury,Senior Analyst - Compensation & People Analytics,"San Francisco, CA, New York, NY, Portland, OR, or Remote within United States",Ignore,non_eu,17
170,Mercury,Senior HRIS Analyst,"San Francisco, CA, New York, NY, Portland, OR, or Remote within Canada or United States",Ignore,non_eu,34
171,Mercury,Senior IT Analyst,"San Francisco, CA, New York, NY, Portland, OR, or Remote within Canada or United States",Ignore,non_eu,16
172,Mercury,Senior Product Manager - API & Agentic Banking,"San Francisco, CA, New York, NY, Portland, OR, or Remote within Canada or United States",Low Priority,non_eu,44
174,Nubank,Senior Business Analyst,"Colombia, Bogota",Low Priority,unknown_reject,48
175,Qonto,Anti-Financial Crime Analyst - German Speaker 🇩🇪,Belgrade,Ignore,unknown_reject,14
195,Shift Technology,"Product Manager, Insurance Data & Compliance",US - Remote,Medium Priority,non_eu,62
199,Thoughtworks,Senior Quality Analyst,"Bangkok, Thailand",Ignore,unknown_reject,26
200,Valtech,Business Analyst - Data & AI,Bengaluru,Low Priority,non_eu,38
202,Valtech,L2 Support-Associate Developer,Bengaluru,Ignore,non_eu,19
203,Valtech,Senior Analyst,Dallas,Ignore,unknown_reject,14
